Country_Region,Population_Size,Tourism,Date_FirstFatality,Date_FirstConfirmedCase,Latitude,Longtitude,Mean_Age,Lockdown_Date,Lockdown_Type,Country_Code
Afghanistan,37172386,14000,3/23/2020,2/25/2020,33.93911,67.709953,17.3,3/24/2020,Full,AFG
Albania,2866376,5340000,3/12/2020,3/10/2020,41.153332,20.168331,36.2,3/8/2020,Full,ALB
Algeria,42228429,2657000,3/13/2020,2/26/2020,28.033886,1.659626,27.5,3/24/2020,Full,DZA
Andorra,77006,3042000,3/23/2020,3/3/2020,42.546245,1.601554,37,3/16/2020,Full,AND
Angola,30809762,218000,3/30/2020,3/21/2020,-11.202692,17.873887,16.4,,,AGO
Antigua and Barbuda,96286,269000,4/8/2020,3/14/2020,17.060816,-61.796428,30.7,,,ATG
Argentina,44494502,6942000,3/9/2020,3/4/2020,-38.416097,-63.616672,30.8,3/20/2020,Full,ARG
Armenia,2951776,1652000,3/27/2020,3/2/2020,40.069099,45.038189,33.9,3/24/2020,Full,ARM
Australia,24982688,9246000,3/2/2020,1/26/2020,-25.274398,133.775136,37.4,3/25/2020,Partial,AUS
Austria,8840521,30816000,3/13/2020,2/26/2020,47.516231,14.550072,43.2,3/16/2020,Full,AUT
Azerbaijan,9939800,2633000,3/14/2020,3/2/2020,40.143105,47.576927,30.3,3/2/2020,Full,AZE
Bahamas,385640,14000,4/2/2020,3/17/2020,25.03428,-77.39628,32.5,4/17/2020,Full,BHS
Bahrain,1569439,12045000,3/17/2020,2/25/2020,25.930414,50.637772,31.2,2/25/2020,Full,BHR
Bangladesh,161356039,14000,3/19/2020,3/9/2020,23.684994,90.356331,25.6,3/19/2020,Full,BGD
Barbados,286641,680000,4/6/2020,3/18/2020,13.193887,-59.543198,38.5,3/28/2020,Full,BRB
Belarus,9483499,11501600,4/1/2020,2/29/2020,53.709807,27.953389,39.6,4/7/2020,Full,BLR
Belgium,11433256,9119000,3/12/2020,2/5/2020,50.503887,4.469936,41.3,3/17/2020,Full,BEL
Belize,383071,489000,4/7/2020,3/24/2020,17.189877,-88.49765,23.5,4/16/2020,Full,BLZ
Benin,11485048,295000,4/7/2020,3/17/2020,9.30769,2.315834,18.2,,,BEN
Bhutan,754394,274000,,3/7/2020,27.514162,90.433601,26.3,3/6/2020,Full,BTN
Bolivia,11353142,1142000,3/30/2020,3/12/2020,-16.290154,-63.588653,37,3/12/2020,Full,BOL
Bosnia and Herzegovina,3323929,1053000,3/22/2020,3/6/2020,43.915886,17.679076,41,3/11/2020,Full,BIH
Botswana,2254126,14000,4/1/2020,3/31/2020,-22.328474,24.684866,24.4,4/2/2020,Partial,BWA
Brazil,209469333,6621000,3/18/2020,2/27/2020,-14.235004,-51.92528,31.3,3/17/2020,Partial,BRA
Brunei,428962,14000,3/29/2020,3/10/2020,4.535277,114.727669,37,,,BRN
Bulgaria,7025037,9273000,3/12/2020,3/9/2020,42.733883,25.48583,43.5,3/13/2020,Full,BGR
Burkina Faso,19751535,144000,3/19/2020,3/11/2020,12.238333,-1.561593,17,3/21/2020,Full,BFA
Burma,53071000,14000,4/1/2020,3/28/2020,21.9162,95.956,37,,,MMR
Burundi,11175378,14000,4/14/2020,4/1/2020,-3.373056,29.918886,17.6,,,BDI
Cabo Verde,543767,710000,3/25/2020,3/21/2020,16.5388,-23.0418,23.8,,,CPV
Cambodia,16249798,6201000,,1/28/2020,12.565679,104.990963,24,3/28/2020,Partial,KHM
Cameroon,25216237,14000,3/26/2020,3/7/2020,7.369722,12.354722,18.3,,,CMR
Canada,37057765,21134000,3/10/2020,1/27/2020,56.130366,-106.346771,40.5,3/16/2020,Partial,CAN
Central African Republic,4666377,14000,,3/16/2020,6.611111,20.939444,17.8,,,CAF
Chad,15477751,14000,,3/20/2020,15.454166,18.732207,16.1,,,TCD
Chile,18729160,5723000,3/23/2020,3/4/2020,-35.675147,-71.542969,33.7,3/26/2020,Full,CHL
China,1392730000,62900000,1/23/2020,1/22/2020,35.86166,104.195397,37,1/23/2020,Full,CHN
Colombia,49648685,3904000,3/23/2020,3/7/2020,4.570868,-74.297333,30.1,3/25/2020,Full,COL
Congo (Brazzaville),5244363,156000,4/3/2020,3/16/2020,-4.521666,21.964255,37,3/28/2020,Partial,COG
